"fade": 淡入淡出效果
"wipeleft": 从右向左擦除效果
"wiperight": 从左向右擦除效果
"wipeup": 从下向上擦除效果
"wipedown": 从上向下擦除效果
"slideleft": 从右向左滑动效果
"slideright": 从左向右滑动效果
"slideup": 从下向上滑动效果
"slidedown": 从上向下滑动效果
"circlecrop": 圆形裁剪效果
"rectcrop": 矩形裁剪效果
"distance": 距离效果
"fadeblack": 黑色淡入淡出效果
"fadewhite": 白色淡入淡出效果
"radial": 放射状效果
"smoothleft": 平滑向左滑动效果
"smoothright": 平滑向右滑动效果
"smoothup": 平滑向上滑动效果
"smoothdown": 平滑向下滑动效果
"circleopen": 圆形打开效果
"circleclose": 圆形关闭效果
"vertopen": 垂直打开效果
"vertclose": 垂直关闭效果
"horzopen": 水平打开效果
"horzclose": 水平关闭效果
"dissolve": 溶解效果
"pixelize": 像素化效果
"diagtl": 从右下到左上对角线效果
"diagtr": 从左下到右上对角线效果
"diagbl": 从右上到左下对角线效果
"diagbr": 从左上到右下对角线效果
"hlslice": 水平分割片段
"hrslice": 水平反向分割片段
"vuslice": 垂直向上分割片段
"vdslice": 垂直向下分割片段
"hblur": 水平模糊效果
"wipetl": 从右下到左上擦除效果
"wipetr": 从左下到右上擦除效果
"wipebl": 从右上到左下擦除效果
"wipebr": 从左上到右下擦除效果
"fadegrays": 灰度淡入淡出效果
"squeezev": 垂直挤压效果
"squeezeh": 水平挤压效果
"zoomin": 放大效果
"hlwind": 水平风效果
"hrwind": 水平反向风效果
"vuwind": 垂直向上风效果
"vdwind": 垂直向下风效果
"coverleft": 向左覆盖效果
"coverright": 向右覆盖效果
"coverup": 向上覆盖效果
"coverdown": 向下覆盖效果
"revealleft": 向左展开效果
"revealright": 向右展开效果
"revealup": 向上展开效果
"revealdown": 向下展开效果
